"Feature","Gain"
"TTP",58.3
"AppearanceYes",14.9
"Temperature",10.4
"DaysIll",6.2
"Age",4.5
"UTIYes",2.1
"GAge",2
"SexM",0.8
"CoughNo",0.5
"SexF",0.3
